x_value,total_1,total_2
0,0,
1,0.0,
2,0.0,
3,0.0,
4,0.0,
5,0.0,
6,0.0,
7,0.0,
8,0.0,
9,0.0,
10,0.0,
11,0.0,
12,0.0,
13,0.0,
14,0.0,
15,0.0,
16,0.0,
17,0.0,
18,0.0,
19,0.0,
20,0.0,
21,0.0,
22,0.0,
23,0.0,
24,0.0,
25,0.0,
26,0.0,
27,0.0,
28,0.0,
29,0.0,
30,0.0,
31,0.0,
32,0.0,
33,0.0,
34,0.0,
35,0.0,
36,0.0,
37,0.0,
38,0.0,
39,0.0,
40,0.0,
41,0.0,
42,0.0,
43,0.0,
44,0.0,
45,0.0,
46,0.0,
47,0.0,
48,0.0,
49,0.0,
50,0.9660676999155839,
51,0.9660676999155839,
52,0.9714427999606414,
53,0.9712917000579182,
54,0.9712917000579182,
55,0.9478855000234034,
56,0.9478855000234034,
57,0.9478855000234034,
58,0.9414636000437895,
59,0.9414636000437895,
60,0.9414636000437895,
61,0.0,
62,0.0,
63,0.0,
64,0.0,
65,0.0,
66,0.0,
67,0.0,
68,0.0,
69,0.0,
70,0.0,
71,0.0,
72,0.0,
73,0.9505990999750793,
74,0.9508022000554774,
75,0.9505990999750793,
76,0.9505990999750793,
77,0.9466094999661436,
78,0.0,
79,0.0,
80,0.0,
81,0.0,
82,0.0,
83,0.0,
84,0.0,
85,0.0,
86,0.0,
87,0.0,
88,0.0,
89,0.0,
90,0.0,
91,0.9238073000014992,
92,0.9238073000014992,
93,0.0,
94,0.0,
95,0.0,
96,0.0,
97,0.0,
98,0.0,
99,0.0,
100,0.0,
101,0.0,
102,0.0,
103,0.0,
104,0.9415156999930332,
105,0.9501616000088688,
106,0.9501616000088688,
107,0.9415156999930332,
108,0.941713600037474,
109,0.9415156999930332,
110,0.0,
111,0.0,
112,0.9239427999782492,
113,0.0,
114,0.9239427999782492,
115,0.9239427999782492,
116,0.0,
117,0.0,
118,0.0,
119,0.0,
120,0.0,
121,0.0,
122,0.0,
123,0.0,
124,0.0,
125,0.0,
126,0.0,
127,0.0,
128,0.0,
129,0.0,
130,0.0,
131,0.0,
132,0.0,
133,0.9640156000168645,
134,0.9640156000168645,
135,0.9640156000168645,
136,0.9638072999914584,
137,0.9594949000311317,
138,0.9594949000311317,
139,0.9638072999914584,
140,0.9655833999895549,
141,0.9655833999895549,
142,0.9655833999895549,
143,0.9633022000125493,
144,0.9591250999401382,
145,0.9591250999401382,
146,0.0,
147,0.95416669999031,
148,0.0,
149,0.0,
150,0.0,
151,0.0,
152,0.0,
153,0.0,
154,0.0,
155,0.0,
156,0.0,
157,0.0,
158,0.0,
159,0.0,
160,0.9562345000413188,
161,0.9562345000413188,
162,0.9562345000413188,
163,0.9562345000413188,
164,0.9457291999533481,
165,0.9457291999533481,
166,0.8993700000028184,
167,0.9364635999882012,
168,0.9364635999882012,
169,0.9346927999795298,
170,0.9271875999511394,
171,0.9271875999511394,
172,0.9271875999511394,
173,0.0,
174,0.0,
175,0.9326408000342781,
176,0.9326408000342781,
177,0.9326408000342781,
178,0.9376771999777702,
179,0.9376771999777702,
180,0.9376771999777702,
181,0.9376771999777702,
182,0.9376771999777702,
183,0.9434375999953772,
184,0.9469843999577279,
185,0.9434375999953772,
186,0.9516147000576893,
187,0.9516147000576893,
188,0.9517344000196317,
189,0.0,
190,0.9517344000196317,
191,0.9553073000242875,
192,0.9553073000242875,
193,0.9553073000242875,
194,0.0,
195,0.9328073000469885,
196,0.9100156999702449,
197,0.9100156999702449,
198,0.9100156999702449,
199,0.9301980000382173,
200,0.9100156999702449,
201,0.9301980000382173,
202,0.7718649000489677,
203,0.0,
204,0.0,
205,0.0,
206,0.0,
207,0.0,
208,0.9349480000091717,
209,0.9349480000091717,
210,0.9513593999836303,
211,0.9513593999836303,
212,0.0,
213,0.0,
214,0.0,
215,0.0,
216,0.0,
217,0.9441251000462216,
218,0.9450938999871141,
219,0.9450938999871141,
220,0.9450938999871141,
221,0.942703199940297,
222,0.942703199940297,
223,0.942703199940297,
224,0.9420156999804021,
225,0.9484375999600161,
226,0.9486407000404142,
227,0.9488229999769828,
228,0.9490938000235474,
229,0.9492135999389575,
230,0.9493125000299187,
231,0.9493125000299187,
232,0.9493125000299187,
233,0.9493125000299187,
234,0.9491615000806632,
235,0.9489062999600719,
236,0.9491615000806632,
237,0.9491615000806632,
238,0.9487916999896697,
239,0.9447084000166797,
240,0.9487916999896697,
241,0.9487916999896697,
242,0.9447084000166797,
243,0.9447084000166797,
244,0.9429844999212946,
245,0.9429844999212946,
246,0.9429844999212946,
247,0.9429844999212946,
248,0.9429844999212946,
249,0.9407604999760224,
250,0.9383125000349537,
251,0.9372449000475171,
252,0.9372449000475171,
253,0.9349792999964848,
254,0.9364948999755143,
255,0.934213600045041,
256,0.934036600006948,
257,0.934036600006948,
258,0.9364948999755143,
259,0.934036600006948,
260,0.9381876000370539,
261,0.9381876000370539,
262,0.9326615999962087,
263,0.0,
264,0.0,
265,0.0,
266,0.0,
267,0.0,
268,0.0,
269,0.0,
270,0.0,
271,0.0,
272,0.0,
273,0.0,
274,0.0,
275,0.0,
276,0.0,
277,0.0,
278,0.0,
279,0.0,
280,0.0,
281,0.0,
282,0.0,
283,0.0,
284,0.0,
285,0.0,
286,0.0,
287,0.0,
288,0.0,
289,0.0,
290,0.0,
291,0.0,
292,0.0,
293,0.0,
294,0.0,
295,0.0,
